column,question_id,question,row_or_option,values
respondent_id,,,,
language,,,,
submitted_at,,,,
synthetic,,,,"yes = generated by surveyagent, no = real response"
status,,,,complete | ended_at_<id> (the form's logic ended the survey there)
P1,P1,Do you consent to voluntarily participate in this anonymous study?,,Yes | No
P2,P2,"During the past 12 months, have you worked in marketing or promotional activities?",,Yes | No
P3,P3,In which country do you carry out most of your marketing or promotional work?,,text
P3_country,P3,In which country do you carry out most of your marketing or promotional work?,country in English (cleaned),text
P4,P4,Which option best describes your work?,,I work at a marketing or advertising agency | I work in an in-house marketing team | I work as a freelancer | I run my own business and manage its marketing | Other marketing-related role (please specify)
P5,P5,How long have you worked in marketing or promotion?,,Less than 1 year | 1–3 years | 4–6 years | 7–10 years | More than 10 years
P6,P6,How many people work in the organisation for which you perform most of your marketing activities?,,I work independently / one-person business | 2–9 people | 10–49 people | 50–249 people | 250 people or more | Difficult to say / not applicable
P7,P7,"During the past 12 months, have you used AI in marketing or promotional work?",,Yes | No
P8,P8,How often do you use AI in marketing or promotional work?,,Every day | Several times a week | Once a week | Several times a month | Less than once a month
P9_1,P9,Which types of AI tools do you use?,"Text generation (e.g. ChatGPT, Gemini, Claude, Copilot)","1 = ticked, 0 = not ticked, empty = question not shown"
P9_2,P9,Which types of AI tools do you use?,"Image or video creation (e.g. Midjourney, DALL·E, Canva AI)","1 = ticked, 0 = not ticked, empty = question not shown"
P9_3,P9,Which types of AI tools do you use?,AI in advertising or marketing automation systems,"1 = ticked, 0 = not ticked, empty = question not shown"
P9_4,P9,Which types of AI tools do you use?,"Analytics, prediction, or audience segmentation","1 = ticked, 0 = not ticked, empty = question not shown"
P9_5,P9,Which types of AI tools do you use?,Chatbots or customer service,"1 = ticked, 0 = not ticked, empty = question not shown"
P9_6,P9,Which types of AI tools do you use?,Other (please specify),"1 = ticked, 0 = not ticked, empty = question not shown"
P10_1,P10,For which marketing tasks do you use AI?,Audience and market analysis,Never | In a few tasks | In some tasks | In most tasks | Almost always | I do not perform this type of task
P10_2,P10,For which marketing tasks do you use AI?,"Strategy, goals, and KPI planning",Never | In a few tasks | In some tasks | In most tasks | Almost always | I do not perform this type of task
P10_3,P10,For which marketing tasks do you use AI?,"Segmentation, personas, and personalisation",Never | In a few tasks | In some tasks | In most tasks | Almost always | I do not perform this type of task
P10_4,P10,For which marketing tasks do you use AI?,Writing promotional content,Never | In a few tasks | In some tasks | In most tasks | Almost always | I do not perform this type of task
P10_5,P10,For which marketing tasks do you use AI?,Creating or editing images and video,Never | In a few tasks | In some tasks | In most tasks | Almost always | I do not perform this type of task
P10_6,P10,For which marketing tasks do you use AI?,Running or optimising advertising campaigns,Never | In a few tasks | In some tasks | In most tasks | Almost always | I do not perform this type of task
P10_7,P10,For which marketing tasks do you use AI?,"Audience communication, customer service, and chatbots",Never | In a few tasks | In some tasks | In most tasks | Almost always | I do not perform this type of task
P10_8,P10,For which marketing tasks do you use AI?,Results analysis and reporting,Never | In a few tasks | In some tasks | In most tasks | Almost always | I do not perform this type of task
P11_1,P11,To what extent do you agree with the following statements?,AI helps me complete marketing tasks faster,Strongly disagree | Disagree | Neither agree nor disagree | Agree | Strongly agree | Difficult to say
P11_2,P11,To what extent do you agree with the following statements?,AI helps me tailor communication to audiences,Strongly disagree | Disagree | Neither agree nor disagree | Agree | Strongly agree | Difficult to say
P11_3,P11,To what extent do you agree with the following statements?,AI helps me create more ideas and content,Strongly disagree | Disagree | Neither agree nor disagree | Agree | Strongly agree | Difficult to say
P11_4,P11,To what extent do you agree with the following statements?,AI makes data analysis and decision-making easier,Strongly disagree | Disagree | Neither agree nor disagree | Agree | Strongly agree | Difficult to say
P11_5,P11,To what extent do you agree with the following statements?,AI improves the quality of prepared materials,Strongly disagree | Disagree | Neither agree nor disagree | Agree | Strongly agree | Difficult to say
P12_1,P12,How significant are the following barriers for you?,Incorrect or fabricated AI outputs,Not a barrier | Minor barrier | Moderate barrier | Major barrier | Very major barrier | Difficult to say
