respondent_id,language,submitted_at,synthetic,status,P1,P2,P3,P3_country,P4,P4_other,P5,P6,P7,P8,P9_1,P9_2,P9_3,P9_4,P9_5,P9_other,P10_1,P10_2,P10_3,P10_4,P10_5,P10_6,P10_7,P10_8,P11_1,P11_2,P11_3,P11_4,P11_5,P12_1,P12_2,P12_3,P12_4,P12_5,P12_6,P12_7,P13_1,P13_2,P13_3,P13_4,P13_5,P13_6,P13_7,P13_8,P13_conflict,P14,P15
P001,EN,2026-09-24T21:55:02+00:00,yes,complete,Yes,Yes,england,United Kingdom,I work in an in-house marketing team,,Less than 1 year,10–49 people,Yes,Once a week,1,1,0,0,0,,In a few tasks,Never,Never,I do not perform this type of task,Never,In a few tasks,In a few tasks,In a few tasks,Neither agree nor disagree,Agree,Strongly agree,Agree,Agree,Major barrier,Very major barrier,Major barrier,Major barrier,Minor barrier,Moderate barrier,Difficult to say,1,0,0,0,0,0,0,0,0,"No, and I do not plan to",never put client data into these tools
P002,EN,2026-09-24T21:55:02+00:00,yes,complete,Yes,Yes,Italy,Italy,I work in an in-house marketing team,,More than 10 years,10–49 people,Yes,Several times a week,1,0,0,1,0,,In a few tasks,In some tasks,Never,I do not perform this type of task,I do not perform this type of task,In some tasks,I do not perform this type of task,In most tasks,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Major barrier,Minor barrier,Not a barrier,Moderate barrier,Difficult to say,Minor barrier,Moderate barrier,1,0,0,1,0,0,0,0,0,"No, but I plan to",
P005,EN,2026-09-24T21:55:02+00:00,yes,complete,Yes,Yes,Italy,Italy,I work as a freelancer,,7–10 years,I work independently / one-person business,Yes,Every day,1,1,1,0,0,,In some tasks,In a few tasks,I do not perform this type of task,In most tasks,In most tasks,In most tasks,In some tasks,In some tasks,Strongly agree,Neither agree nor disagree,Agree,Agree,Difficult to say,Difficult to say,Minor barrier,Moderate barrier,Not a barrier,Difficult to say,Minor barrier,Minor barrier,1,0,0,0,0,0,0,0,0,Yes,Never put cient data into these tools.
P006,EN,2026-09-24T21:55:02+00:00,yes,complete,Yes,Yes,UK,United Kingdom,I work at a marketing or advertising agency,,More than 10 years,10–49 people,Yes,Every day,1,0,1,0,0,,Almost always,Almost always,In most tasks,I do not perform this type of task,I do not perform this type of task,In most tasks,I do not perform this type of task,In most tasks,Strongly agree,Difficult to say,Strongly agree,Strongly agree,Agree,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,1,1,1,0,0,0,0,0,0,"No, but I plan to",
P008,EN,2026-09-24T21:55:02+00:00,yes,ended_at_P1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P009,EN,2026-09-24T21:55:02+00:00,yes,complete,Yes,Yes,Denmark,Denmark,I work at a marketing or advertising agency,,Less than 1 year,250 people or more,Yes,Several times a week,1,1,0,0,0,transcription,In some tasks,In a few tasks,I do not perform this type of task,In most tasks,In some tasks,In some tasks,Almost always,In a few tasks,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Difficult to say,Major barrier,Not a barrier,Moderate barrier,Difficult to say,Minor barrier,Not a barrier,1,1,0,1,1,0,0,0,0,Yes,
P010,EN,2026-09-24T21:55:02+00:00,yes,complete,Yes,Yes,The Netherlands,Netherlands,I work as a freelancer,,More than 10 years,Difficult to say / not applicable,Yes,Every day,1,1,0,0,0,,In most tasks,I do not perform this type of task,In some tasks,In most tasks,In some tasks,In most tasks,I do not perform this type of task,I do not perform this type of task,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Minor barrier,Minor barrier,Minor barrier,Difficult to say,Minor barrier,Moderate barrier,Minor barrier,1,0,1,1,0,0,1,0,0,"No, and I do not plan to",
P011,EN,2026-09-24T21:55:02+00:00,yes,complete,Yes,Yes,France,France,I work in an in-house marketing team,,1–3 years,Difficult to say / not applicable,Yes,Every day,1,1,1,0,0,,Almost always,In most tasks,In most tasks,Almost always,Almost always,Almost always,In some tasks,In some tasks,Agree,Difficult to say,Strongly agree,Agree,Agree,Minor barrier,Difficult to say,Not a barrier,Minor barrier,Not a barrier,Not a barrier,Minor barrier,1,0,0,0,0,0,0,0,0,Yes,
P013,EN,2026-09-24T21:55:02+00:00,yes,complete,Yes,Yes,Spain,Spain,I work in an in-house marketing team,,1–3 years,2–9 people,Yes,Every day,1,1,1,0,0,translation (DeepL),In some tasks,In a few tasks,Never,Almost always,I do not perform this type of task,In some tasks,I do not perform this type of task,In some tasks,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Major barrier,Minor barrier,Major barrier,Minor barrier,Not a barrier,Moderate barrier,Not a barrier,1,0,0,0,0,0,0,0,0,Yes,Fine as long as someone who knows the brand reviews everything and we are honest with clients about it.
P014,EN,2026-09-24T21:55:02+00:00,yes,ended_at_P2,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P015,EN,2026-09-24T21:55:02+00:00,yes,complete,Yes,Yes,germany,Germany,I work in an in-house marketing team,,More than 10 years,2–9 people,Yes,Several times a week,1,1,0,0,0,,I do not perform this type of task,I do not perform this type of task,I do not perform this type of task,Almost always,In most tasks,I do not perform this type of task,Almost always,I do not perform this type of task,Strongly agree,Difficult to say,Strongly agree,Agree,Strongly agree,Moderate barrier,Not a barrier,Not a barrier,Minor barrier,Not a barrier,Not a barrier,Minor barrier,1,0,0,1,1,0,0,0,0,Yes,"more ideas in less time, especially when many versions of visuals are needed. it makes things up and sounds very sure about it. everything has to be checked before it goes out"
