persona_id,persona_name,generated_at,synthetic,Do you consent to voluntarily participate in this anonymous study?,"During the past 12 months, have you worked in marketing or promotional activities?",In which country do you carry out most of your marketing or promotional work?,Which option best describes your work?,How long have you worked in marketing or promotion?,How many people work in the organisation for which you perform most of your marketing activities?,"During the past 12 months, have you used AI in marketing or promotional work?",How often do you use AI in marketing or promotional work?,Which types of AI tools do you use?,For which marketing tasks do you use AI? [Audience and market analysis],"For which marketing tasks do you use AI? [Strategy, goals, and KPI planning]","For which marketing tasks do you use AI? [Segmentation, personas, and personalisation]",For which marketing tasks do you use AI? [Writing promotional content],For which marketing tasks do you use AI? [Creating or editing images and video],For which marketing tasks do you use AI? [Running or optimising advertising campaigns],"For which marketing tasks do you use AI? [Audience communication, customer service, and chatbots]",For which marketing tasks do you use AI? [Results analysis and reporting],To what extent do you agree with the following statements? [AI helps me complete marketing tasks faster],To what extent do you agree with the following statements? [AI helps me tailor communication to audiences],To what extent do you agree with the following statements? [AI helps me create more ideas and content],To what extent do you agree with the following statements? [AI makes data analysis and decision-making easier],To what extent do you agree with the following statements? [AI improves the quality of prepared materials],How significant are the following barriers for you? [Incorrect or fabricated AI outputs],How significant are the following barriers for you? [Data protection and confidentiality],How significant are the following barriers for you? [Copyright and legal compliance],How significant are the following barriers for you? [Content that does not match the brand’s style or quality],How significant are the following barriers for you? [Biased or discriminatory outputs],How significant are the following barriers for you? [Lack of skills or clear procedures],How significant are the following barriers for you? [Costs or difficulties with implementation and integration],What do you or your organisation do to reduce risks related to AI?,Have you taken part in training on the use of AI in marketing or communication?,"If you wish, briefly describe one benefit, one problem, or one condition for the responsible use of AI in marketing."
P001,Katie Brown,2026-09-24T22:20:10+00:00,yes,Yes,Yes,england,I work in an in-house marketing team,Less than 1 year,10–49 people,Yes,Once a week,"Text generation (e.g. ChatGPT, Gemini, Claude, Copilot), Image or video creation (e.g. Midjourney, DALL·E, Canva AI)",In a few tasks,Never,Never,I do not perform this type of task,Never,In a few tasks,In a few tasks,In a few tasks,Neither agree nor disagree,Agree,Strongly agree,Agree,Agree,Major barrier,Very major barrier,Major barrier,Major barrier,Minor barrier,Moderate barrier,Difficult to say,Content is reviewed by a person,"No, and I do not plan to",never put client data into these tools
P002,Marta Costa,2026-09-24T22:20:10+00:00,yes,Yes,Yes,Italy,I work in an in-house marketing team,More than 10 years,10–49 people,Yes,Several times a week,"Text generation (e.g. ChatGPT, Gemini, Claude, Copilot), Analytics, prediction, or audience segmentation",In a few tasks,In some tasks,Never,I do not perform this type of task,I do not perform this type of task,In some tasks,I do not perform this type of task,In most tasks,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Major barrier,Minor barrier,Not a barrier,Moderate barrier,Difficult to say,Minor barrier,Moderate barrier,"Content is reviewed by a person, Materials are approved by a supervisor or client","No, but I plan to",
P005,Sara Ricci,2026-09-24T22:20:10+00:00,yes,Yes,Yes,Italy,I work as a freelancer,7–10 years,I work independently / one-person business,Yes,Every day,"Text generation (e.g. ChatGPT, Gemini, Claude, Copilot), Image or video creation (e.g. Midjourney, DALL·E, Canva AI), AI in advertising or marketing automation systems",In some tasks,In a few tasks,I do not perform this type of task,In most tasks,In most tasks,In most tasks,In some tasks,In some tasks,Strongly agree,Neither agree nor disagree,Agree,Agree,Difficult to say,Difficult to say,Minor barrier,Moderate barrier,Not a barrier,Difficult to say,Minor barrier,Minor barrier,Content is reviewed by a person,Yes,Never put cient data into these tools.
P006,Francesca Bruno,2026-09-24T22:20:10+00:00,yes,Yes,Yes,UK,I work at a marketing or advertising agency,More than 10 years,10–49 people,Yes,Every day,"Text generation (e.g. ChatGPT, Gemini, Claude, Copilot), AI in advertising or marketing automation systems",Almost always,Almost always,In most tasks,I do not perform this type of task,I do not perform this type of task,In most tasks,I do not perform this type of task,In most tasks,Strongly agree,Difficult to say,Strongly agree,Strongly agree,Agree,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,"Content is reviewed by a person, We do not enter confidential or personal data into AI tools, We check facts and sources","No, but I plan to",
P008,Francesco Lombardi,2026-09-24T22:20:10+00:00,yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P009,Paola Ferrari,2026-09-24T22:20:10+00:00,yes,Yes,Yes,Denmark,I work at a marketing or advertising agency,Less than 1 year,250 people or more,Yes,Several times a week,"Text generation (e.g. ChatGPT, Gemini, Claude, Copilot), Image or video creation (e.g. Midjourney, DALL·E, Canva AI), Other (please specify)",In some tasks,In a few tasks,I do not perform this type of task,In most tasks,In some tasks,In some tasks,Almost always,In a few tasks,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Difficult to say,Major barrier,Not a barrier,Moderate barrier,Difficult to say,Minor barrier,Not a barrier,"Content is reviewed by a person, We do not enter confidential or personal data into AI tools, Materials are approved by a supervisor or client, We use training or internal AI guidelines",Yes,
P010,Lotte Vos,2026-09-24T22:20:10+00:00,yes,Yes,Yes,The Netherlands,I work as a freelancer,More than 10 years,Difficult to say / not applicable,Yes,Every day,"Text generation (e.g. ChatGPT, Gemini, Claude, Copilot), Image or video creation (e.g. Midjourney, DALL·E, Canva AI)",In most tasks,I do not perform this type of task,In some tasks,In most tasks,In some tasks,In most tasks,I do not perform this type of task,I do not perform this type of task,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Minor barrier,Minor barrier,Minor barrier,Difficult to say,Minor barrier,Moderate barrier,Minor barrier,"Content is reviewed by a person, We check facts and sources, Materials are approved by a supervisor or client, We do not use formal practices","No, and I do not plan to",
P011,Élodie Blanc,2026-09-24T22:20:10+00:00,yes,Yes,Yes,France,I work in an in-house marketing team,1–3 years,Difficult to say / not applicable,Yes,Every day,"Text generation (e.g. ChatGPT, Gemini, Claude, Copilot), Image or video creation (e.g. Midjourney, DALL·E, Canva AI), AI in advertising or marketing automation systems",Almost always,In most tasks,In most tasks,Almost always,Almost always,Almost always,In some tasks,In some tasks,Agree,Difficult to say,Strongly agree,Agree,Agree,Minor barrier,Difficult to say,Not a barrier,Minor barrier,Not a barrier,Not a barrier,Minor barrier,Content is reviewed by a person,Yes,
P013,Álvaro Vázquez,2026-09-24T22:20:10+00:00,yes,Yes,Yes,Spain,I work in an in-house marketing team,1–3 years,2–9 people,Yes,Every day,"Text generation (e.g. ChatGPT, Gemini, Claude, Copilot), Image or video creation (e.g. Midjourney, DALL·E, Canva AI), AI in advertising or marketing automation systems, Other (please specify)",In some tasks,In a few tasks,Never,Almost always,I do not perform this type of task,In some tasks,I do not perform this type of task,In some tasks,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Major barrier,Minor barrier,Major barrier,Minor barrier,Not a barrier,Moderate barrier,Not a barrier,Content is reviewed by a person,Yes,Fine as long as someone who knows the brand reviews everything and we are honest with clients about it.
P014,Svitlana Bondarenko,2026-09-24T22:20:10+00:00,yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
